SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,IM_DIAGNOSTIC,22,204.6
LED15,6.1,YES,30.0,527.66,YES,,,,,,,3,2,IM_DIAGNOSTIC,22,435.6
,,,,,,LED25,12.9,YES,30.0,996.5,,15,3,IM_DIAGNOSTIC,11,742.5
LED15,6.1,YES,30.0,527.66,YES,LED25,12.9,NO,,,YES,3,3,IM_DIAGNOSTIC,7,296.1
,,,,,,,,,,,,28,4,IM_DIAGNOSTIC,7,607.6
LED15,6.1,YES,30.0,527.66,YES,,,,,,,3,5,DROP_10_OF_11,16,1774.8
,,,,,,LED25,12.9,YES,30.0,996.5,,3,6,DROP_2_OF_3,26,937.8
LED15,6.1,YES,30.0,527.66,YES,LED25,12.9,NO,,,YES,3,6,DROP_2_OF_3,18,714.6
,,,,,,,,,,,,6,7,DROP_1_OF_2,19,688.2
LED15,27.3,YES,30.0,1497.94,,,,,,,,3,8,DROP_1_OF_2,19,575.1
LED15,27.3,NO,,,YES,LED25,12.9,YES,30.0,996.5,,3,8,DROP_1_OF_2,13,463.5
,,,,,,LED25,12.9,NO,,,,3,8,DROP_1_OF_2,39,716.1
,,,,,,LED25,58.0,YES,30.0,1485.1,,3,8,DROP_1_OF_2,9,389.1
LED15,6.1,YES,30.0,527.66,,LED25,58.0,NO,,,,3,8,DROP_1_OF_2,9,389.1
LED15,27.3,YES,30.0,1075.08,YES,LED25,58.0,NO,,,YES,3,8,DROP_1_OF_2,7,351.9
,,,,,,,,,,,,17,9,IM_DIAGNOSTIC,12,632.4
LED15,6.1,YES,30.0,527.66,,,,,,,,3,10,IM_DIAGNOSTIC,22,435.6
LED15,123.0,YES,30.0,4076.24,,,,,,,,3,10,IM_DIAGNOSTIC,8,305.4
LED15,123.0,NO,,,YES,LED25,58.0,YES,30.0,2364.2,,4,10,IM_DIAGNOSTIC,6,305.4
,,,,,,LED25,58.0,NO,,,,12,10,IM_DIAGNOSTIC,17,632.4
,,,,,,LED25,261.0,YES,30.0,4100.33,,5,10,IM_DIAGNOSTIC,4,293.0
LED15,27.3,YES,30.0,1497.94,,LED25,261.0,NO,,,,5,10,IM_DIAGNOSTIC,4,293.0
LED15,123.0,YES,30.0,3105.95,YES,LED25,261.0,NO,,,YES,5,10,IM_DIAGNOSTIC,4,293.0
,,,,,,,,,,,,49,11,IM_DIAGNOSTIC,4,607.6
LED15,27.3,YES,30.0,1497.94,,,,,,,,3,12,DROP_3_OF_4,10,575.1
LED15,123.0,YES,30.0,3105.95,,,,,,,,3,12,DROP_3_OF_4,27,1207.5
LED15,123.0,NO,,,YES,LED25,58.0,YES,30.0,2364.2,,3,12,DROP_3_OF_4,19,909.9
,,,,,,LED25,58.0,NO,,,,12,12,DROP_3_OF_4,5,632.4
,,,,,,LED25,261.0,YES,30.0,4100.33,,3,12,DROP_3_OF_4,14,723.9
LED15,27.3,YES,30.0,1497.94,,LED25,261.0,NO,,,,3,12,DROP_3_OF_4,12,649.5
LED15,123.0,YES,30.0,3105.95,YES,LED25,261.0,NO,,,YES,3,12,DROP_3_OF_4,10,575.1
,,,,,,,,,,,,6,13,DROP_1_OF_2,18,651.0
LED15,27.3,YES,30.0,1497.94,,,,,,,,3,14,DROP_1_OF_2,19,575.1
LED15,553.6,YES,30.0,18130.45,,,,,,,,3,14,DROP_1_OF_2,13,463.5
LED15,553.6,NO,,,YES,LED25,261.0,YES,30.0,6347.74,,3,14,DROP_1_OF_2,9,389.1
,,,,,,LED25,261.0,NO,,,,4,14,DROP_1_OF_2,26,632.4
,,,,,,LED25,1174.3,YES,31.0,38422.05,,3,14,DROP_1_OF_2,6,333.3
LED15,123.0,YES,30.0,4499.11,,LED25,1174.3,NO,,,,3,14,DROP_1_OF_2,6,333.3
LED15,553.6,YES,30.0,15129.29,YES,LED25,1174.3,NO,,,YES,3,14,DROP_1_OF_2,5,314.7
,,,,,,,,,,,,25,15,IM_DIAGNOSTIC,8,620.0
,,,,,,LED25,1174.3,YES,35.0,39384.52,YES,3,16,IM_DIAGNOSTIC,11,333.3
LED15,123.0,YES,30.0,4499.11,,,,,,,,21,17,IM_DIAGNOSTIC,8,751.8
LED15,553.6,YES,30.0,15129.29,,,,,,,,3,17,IM_DIAGNOSTIC,24,454.2
LED15,2491.1,YES,63.0,40084.59,,,,,,,,4,17,IM_DIAGNOSTIC,6,305.4
LED15,2491.1,NO,,,YES,LED25,1174.3,YES,35.0,39384.52,,5,17,IM_DIAGNOSTIC,4,293.0
,,,,,,LED25,1174.3,NO,,,,18,17,IM_DIAGNOSTIC,11,613.8
